Customer ID,Gender,Age,City Code,Product Code,Total Bill (Taka),Customer Value
1,Female,19,3,9,9120,1
2,Female,27,4,2,6110,1
3,Female,34,2,4,7010,0
4,Female,42,2,6,10710,0
5,Female,33,16,8,7620,1
6,Female,30,16,6,10710,0
7,Female,25,3,4,7010,1
8,Female,22,3,4,7010,0
9,Female,31,7,3,7300,0
10,Female,44,1,9,9070,0
11,Female,22,1,2,6060,1
12,Female,43,5,9,9120,0
13,Female,40,18,10,9670,1
14,Female,22,1,9,9070,1
15,Female,41,1,2,6060,1
16,Female,22,1,6,10660,0
17,Male,38,1,6,10660,1
18,Female,37,3,4,7010,1
19,Male,25,3,1,5719,0
20,Female,22,17,1,5719,0
21,Male,42,1,7,6570,0
22,Female,46,10,2,6110,0
23,Female,42,6,2,6110,0
24,Female,40,1,2,6060,0
25,Female,29,1,2,6060,0
26,Female,32,10,10,9670,0
27,Female,22,3,6,10710,1
28,Female,43,1,2,6060,1
29,Male,22,5,1,5719,0
30,Female,25,1,6,10660,0
31,Female,30,18,6,10710,1
32,Female,36,13,3,7300,1
33,Female,31,3,7,6620,0
34,Female,29,8,6,10710,0
35,Female,41,3,5,7680,1
36,Female,43,9,6,10710,0
37,Female,23,7,5,7680,1
38,Female,38,1,6,10660,0
39,Male,38,1,6,10660,1
40,Female,22,1,1,5669,1
41,Female,33,10,2,6110,0
42,Female,42,1,3,7250,0
43,Male,34,11,9,9120,0
44,Male,25,1,8,7570,1
45,Female,36,1,1,5669,0
46,Female,32,1,6,10660,0
47,Female,22,4,9,9120,1
48,Female,37,1,10,9620,1
49,Female,36,15,6,10710,1
50,Male,43,1,3,7250,1
51,Female,33,1,6,10660,0
52,Female,25,4,4,7010,1
53,Female,31,1,1,5669,0
54,Female,29,1,1,5669,0
55,Female,23,14,4,7010,0
56,Female,22,8,9,9120,0
57,Female,23,3,6,10710,1
58,Male,46,20,2,6110,1
59,Female,29,15,2,6110,0
60,Female,33,3,6,10710,0
61,Female,32,19,1,5719,1
62,Female,27,3,7,6620,0
63,Female,39,19,6,10710,0
64,Female,22,19,8,7620,1
65,Female,42,4,6,10710,0
66,Male,22,1,6,10660,1
67,Male,29,15,1,5719,1
68,Female,49,3,1,5719,0
69,Male,49,1,2,6060,0
70,Female,24,12,2,6110,0
71,Male,23,1,6,10660,0
72,Female,25,1,6,10660,1
73,Female,33,1,5,7630,1
74,Male,47,1,1,5669,0
75,Female,38,1,9,9070,0
76,Female,44,15,9,9120,1
77,Female,46,6,6,10710,1
78,Female,35,1,6,10660,1
79,Female,45,18,6,10710,1
80,Female,43,15,6,10710,1
81,Female,23,3,6,10710,1
82,Female,22,8,6,10710,1
83,Female,36,1,6,10660,1
84,Female,22,3,10,9670,1
85,Female,25,1,5,7630,1
86,Female,23,20,3,7300,0
87,Female,25,1,10,9620,0
88,Female,38,3,7,6620,1
89,Female,22,2,9,9120,0
90,Male,33,1,1,5669,1
91,Female,26,8,4,7010,0
92,Female,22,16,9,9120,0
93,Female,22,17,10,9670,1
94,Female,46,1,1,5669,1
95,Female,27,1,4,6960,0
96,Female,24,2,1,5719,0
97,Female,34,8,4,7010,0
98,Female,39,16,5,7680,0
99,Female,48,10,2,6110,0
100,Female,48,10,2,6110,0
101,Female,40,3,2,6110,0
102,Female,50,3,2,6110,0
103,Male,44,1,2,6060,0
104,Female,33,3,10,9670,0
105,Female,31,3,10,9670,1
106,Female,40,3,9,9120,1
107,Female,34,20,1,5719,1
108,Female,22,15,2,6110,0
109,Female,22,2,4,7010,0
110,Female,33,21,7,6620,0
111,Female,36,3,5,7680,0
112,Female,46,5,1,5719,0
113,Female,31,5,4,7010,0
114,Female,43,8,2,6110,0
115,Female,27,13,7,6620,0
116,Female,29,16,10,9670,0
117,Male,47,3,1,5719,1
118,Female,22,4,2,6110,0
119,Female,22,1,8,7570,0
120,Female,25,7,6,10710,0
121,Female,29,5,7,6620,1
122,Female,32,1,4,6960,0
123,Female,27,1,10,9620,0
124,Female,24,9,9,9120,1
125,Female,34,1,7,6570,1
126,Female,33,16,10,9670,0
127,Female,32,1,4,6960,1
128,Female,39,3,8,7620,0
129,Female,26,3,6,10710,0
130,Female,47,1,7,6570,1
131,Female,45,16,1,5719,0
132,Female,41,15,5,7680,0
133,Female,24,7,4,7010,0
134,Female,27,3,2,6110,0
135,Female,40,1,2,6060,0
136,Female,46,11,2,6110,0
137,Female,26,13,9,9120,0
138,Female,38,1,8,7570,1
139,Female,40,1,6,10660,0
140,Female,49,3,3,7300,1
141,Male,43,1,1,5669,0
142,Female,38,1,2,6060,0
143,Female,32,1,8,7570,0
144,Male,24,8,4,7010,0
145,Female,39,17,4,7010,0
146,Female,39,3,2,6110,0
147,Female,25,1,10,9620,0
148,Female,39,4,9,9120,1
149,Female,24,14,10,9670,1
150,Male,22,20,5,7680,1
151,Female,26,16,2,6110,0
152,Female,22,1,3,7250,0
153,Male,35,3,10,9670,0
154,Female,24,3,9,9120,1
155,Male,31,3,5,7680,1
156,Female,35,12,9,9120,0
157,Female,44,3,8,7620,1
158,Male,46,3,4,7010,0
159,Female,29,4,2,6110,0
160,Female,37,1,2,6060,0
161,Female,30,1,2,6060,0
162,Male,32,1,2,6060,0
163,Female,46,18,2,6110,0
164,Female,40,19,1,5719,0
165,Female,28,16,3,7300,0
166,Female,40,14,10,9670,0
167,Female,46,8,1,5719,1
168,Female,31,18,10,9670,0
169,Female,31,13,3,7300,1
170,Female,23,5,2,6110,0
171,Female,27,1,2,6060,0
172,Female,34,15,2,6110,0
173,Female,41,14,2,6110,0
174,Male,30,3,2,6110,0
175,Female,27,12,8,7620,0
176,Female,25,14,5,7680,0
177,Female,43,1,8,7570,0
178,Female,45,1,2,6060,0
179,Female,43,3,1,5719,0
180,Male,43,6,4,7010,0
181,Female,41,1,6,10660,0
182,Female,46,3,8,7620,1
183,Male,25,1,5,7630,0
184,Male,40,1,8,7570,0
185,Female,48,3,5,7680,0
186,Female,31,3,7,6620,0
187,Female,28,1,2,6060,0
188,Female,41,7,10,9670,0
189,Female,37,1,10,9620,1
190,Female,45,5,9,9120,1
191,Female,48,20,8,7620,1
192,Female,22,3,5,7680,0
193,Male,48,18,7,6620,0
194,Female,48,3,8,7620,0
195,Female,37,1,8,7570,0
196,Female,40,1,9,9070,0
197,Male,28,6,1,5719,1
198,Female,32,1,10,9620,0
199,Female,28,16,7,6620,1
200,Female,22,1,3,7250,0
201,Female,28,20,3,7300,0
202,Male,27,1,6,10660,0
203,Female,50,16,5,7680,1
204,Female,22,1,6,10660,0
205,Male,24,1,8,7570,1
206,Female,25,9,5,7680,0
207,Male,28,4,8,7620,0
208,Female,36,1,3,7250,0
209,Female,42,3,5,7680,0
210,Female,49,3,9,9120,0
211,Female,22,16,4,7010,1
212,Female,49,3,1,5719,0
213,Female,41,15,6,10710,0
214,Female,38,1,6,10660,1
215,Female,30,17,4,7010,1
216,Female,40,1,9,9070,0
217,Male,35,3,2,6110,1
218,Female,44,1,6,10660,0
219,Female,42,1,1,5669,1
220,Female,44,10,4,7010,0
221,Female,39,3,4,7010,0
222,Female,23,3,10,9670,0
223,Female,34,1,8,7570,1
224,Female,32,3,5,7680,0
225,Male,45,1,7,6570,0
226,Female,23,1,6,10660,0
227,Male,40,1,1,5669,1
228,Female,48,1,5,7630,0
229,Female,48,12,7,6620,0
230,Female,24,11,6,10710,0
231,Female,24,1,6,10660,1
232,Male,31,3,6,10710,1
233,Female,22,3,6,10710,1
234,Female,40,3,6,10710,1
235,Female,41,7,6,10710,1
236,Female,28,20,6,10710,1
237,Female,23,3,6,10710,1
238,Female,32,8,6,10710,1
239,Male,23,1,6,10660,1
240,Male,23,18,6,10710,1
241,Female,30,7,6,10710,1
242,Female,36,3,7,6620,1
243,Female,28,1,10,9620,0
244,Female,43,8,5,7680,1
245,Female,41,1,3,7250,0
246,Female,23,6,5,7680,0
247,Female,29,3,4,7010,0
248,Male,45,4,6,10710,0
249,Female,35,6,1,5719,1
250,Female,49,1,2,6060,0
251,Female,33,12,2,6110,0
252,Female,47,3,3,7300,0
253,Male,37,3,6,10710,0
254,Male,35,19,3,7300,1
255,Female,38,6,7,6620,0
256,Male,42,6,10,9670,0
257,Male,22,19,3,7300,1
258,Female,46,1,2,6060,0
259,Female,48,3,1,5719,0
260,Female,27,1,2,6060,0
261,Female,49,4,1,5719,0
262,Female,41,8,3,7300,0
263,Female,30,18,7,6620,0
264,Female,34,3,8,7620,0
265,Female,30,7,7,6620,0
266,Female,30,3,8,7620,0
267,Female,22,3,2,6110,0
268,Female,36,1,2,6060,0
269,Female,43,16,6,10710,0
270,Female,48,4,9,9120,1
271,Female,27,1,3,7250,1
272,Female,47,3,2,6110,0
273,Female,46,9,1,5719,0
274,Female,35,1,9,9070,0
275,Female,30,1,3,7250,1
276,Male,37,3,8,7620,0
277,Female,39,1,10,9620,0
278,Female,22,1,7,6570,1
279,Female,41,7,8,7620,0
280,Female,22,1,4,6960,0
281,Female,41,6,9,9120,0
282,Female,41,1,4,6960,1
283,Female,41,6,5,7680,0
284,Female,49,4,2,6110,0
285,Female,31,1,2,6060,0
286,Female,26,3,2,6110,0
287,Female,31,1,4,6960,0
288,Female,42,3,10,9670,0
289,Female,22,3,6,10710,1
290,Female,23,9,8,7620,1
291,Female,36,18,7,6620,0
292,Female,41,1,2,6060,0
293,Female,36,3,5,7680,0
294,Female,26,13,5,7680,0
295,Female,48,3,8,7620,0
296,Female,49,8,8,7620,0
297,Male,24,1,6,10660,0
298,Male,23,1,2,6060,1
299,Male,46,6,2,6110,0
300,Female,41,12,2,6110,0
301,Female,30,7,2,6110,0
302,Female,23,20,1,5719,0
303,Female,38,3,1,5719,0
304,Female,38,19,10,9670,0
305,Female,40,1,10,9620,1
306,Female,32,13,3,7300,1
307,Female,50,1,7,6570,0
308,Female,46,20,1,5719,0
309,Female,36,16,1,5719,0
310,Female,22,1,6,10660,0
311,Female,31,16,3,7300,1
312,Female,31,1,5,7630,0
313,Female,30,7,10,9670,0
314,Male,32,18,9,9120,1
315,Female,44,5,8,7620,1
316,Female,26,1,7,6570,0
317,Female,30,1,5,7630,0
318,Female,43,7,4,7010,0
319,Female,39,1,4,6960,0
320,Female,40,18,1,5719,0
321,Female,32,18,9,9120,0
322,Female,30,1,2,6060,1
323,Female,27,10,2,6110,0
324,Female,34,3,2,6110,0
325,Male,35,3,2,6110,0
326,Male,36,1,2,6060,0
327,Female,33,13,2,6110,0
328,Female,39,1,2,6060,0
329,Female,23,12,4,7010,0
330,Female,23,3,1,5719,0
331,Female,28,7,3,7300,0
332,Female,28,9,8,7620,0
333,Female,31,17,8,7620,0
334,Male,39,1,2,6060,0
335,Female,34,15,1,5719,0
336,Female,43,1,7,6570,0
337,Male,30,3,1,5719,0
338,Female,47,1,6,10660,0
339,Female,46,4,1,5719,1
340,Female,48,16,3,7300,0
341,Female,28,5,9,9120,0
342,Female,24,3,5,7680,1
343,Female,30,11,9,9120,0
344,Female,32,11,8,7620,1
345,Female,35,1,2,6060,0
346,Female,46,8,5,7680,0
347,Female,36,14,8,7620,0
348,Female,44,3,7,6620,0
349,Female,35,3,3,7300,0
350,Female,27,1,5,7630,0
351,Female,24,15,10,9670,0
352,Female,34,19,10,9670,1
353,Female,42,3,10,9670,1
354,Female,24,5,9,9120,1
355,Female,50,1,5,7630,1
356,Female,24,1,7,6570,0
357,Female,23,1,4,6960,0
358,Female,25,3,6,10710,0
359,Female,29,3,7,6620,1
360,Male,46,1,2,6060,0
361,Female,25,11,7,6620,0
362,Male,22,7,10,9670,0
363,Male,30,1,8,7570,1
364,Female,50,1,7,6570,0
365,Male,31,7,3,7300,0
366,Female,35,1,5,7630,0
367,Female,23,1,9,9070,0
368,Male,49,8,1,5719,1
369,Female,43,1,2,6060,0
370,Female,47,20,9,9120,0
371,Female,38,3,10,9670,1
372,Female,28,7,3,7300,1
373,Female,41,18,7,6620,0
374,Female,38,19,8,7620,0
375,Female,48,20,9,9120,0
376,Female,25,3,5,7680,1
377,Female,23,3,2,6110,0
378,Female,27,8,7,6620,0
379,Female,43,1,10,9620,0
380,Male,30,6,2,6110,1
381,Female,31,9,2,6110,0
