Customer ID,Gender,Age,City Code,Product Code,Product Price (Taka),Delivery Charge(Taka),Total Bill (Taka),Spending Score,Customer Value
1,Female,19,3,9,9000,120,9120,90,1
2,Female,27,4,2,5990,120,6110,48,0
3,Female,34,2,4,6890,120,7010,53,0
4,Female,42,2,6,10590,120,10710,95,1
5,Female,33,16,8,7500,120,7620,78,1
6,Female,30,16,6,10590,120,10710,95,1
7,Female,25,3,4,6890,120,7010,53,0
8,Female,22,3,4,6890,120,7010,53,0
9,Female,31,7,3,7180,120,7300,53,0
10,Female,44,1,9,9000,70,9070,90,1
11,Female,22,1,2,5990,70,6060,48,0
12,Female,43,5,9,9000,120,9120,90,1
13,Female,40,18,10,9550,120,9670,90,1
14,Female,22,1,9,9000,70,9070,90,1
15,Female,41,1,2,5990,70,6060,48,0
16,Female,22,1,6,10590,70,10660,95,1
17,Male,38,1,6,10590,70,10660,95,1
18,Female,37,3,4,6890,120,7010,53,0
19,Male,25,3,1,5599,120,5719,33,0
20,Female,22,17,1,5599,120,5719,33,0
21,Male,42,1,7,6500,70,6570,48,0
22,Female,46,10,2,5990,120,6110,48,0
23,Female,42,6,2,5990,120,6110,48,0
24,Female,40,1,2,5990,70,6060,48,0
25,Female,29,1,2,5990,70,6060,48,0
26,Female,32,10,10,9550,120,9670,90,1
27,Female,22,3,6,10590,120,10710,95,1
28,Female,43,1,2,5990,70,6060,48,0
29,Male,22,5,1,5599,120,5719,33,0
30,Female,25,1,6,10590,70,10660,95,1
31,Female,30,18,6,10590,120,10710,95,1
32,Female,36,13,3,7180,120,7300,53,0
33,Female,31,3,7,6500,120,6620,48,0
34,Female,29,8,6,10590,120,10710,95,1
35,Female,41,3,5,7560,120,7680,78,1
36,Female,43,9,6,10590,120,10710,95,1
37,Female,23,7,5,7560,120,7680,78,1
38,Female,38,1,6,10590,70,10660,95,1
39,Male,38,1,6,10590,70,10660,95,1
40,Female,22,1,1,5599,70,5669,33,0
41,Female,33,10,2,5990,120,6110,48,0
42,Female,42,1,3,7180,70,7250,53,0
43,Male,34,11,9,9000,120,9120,90,1
44,Male,25,1,8,7500,70,7570,78,1
45,Female,36,1,1,5599,70,5669,33,0
46,Female,32,1,6,10590,70,10660,95,1
47,Female,22,4,9,9000,120,9120,90,1
48,Female,37,1,10,9550,70,9620,90,1
49,Female,36,15,6,10590,120,10710,95,1
50,Male,43,1,3,7180,70,7250,53,0
51,Female,33,1,6,10590,70,10660,95,1
52,Female,25,4,4,6890,120,7010,53,0
53,Female,31,1,1,5599,70,5669,33,0
54,Female,29,1,1,5599,70,5669,33,0
55,Female,23,14,4,6890,120,7010,53,0
56,Female,22,8,9,9000,120,9120,90,1
57,Female,23,3,6,10590,120,10710,95,1
58,Male,46,20,2,5990,120,6110,48,0
59,Female,29,15,2,5990,120,6110,48,0
60,Female,33,3,6,10590,120,10710,95,1
61,Female,32,19,1,5599,120,5719,33,0
62,Female,27,3,7,6500,120,6620,48,0
63,Female,39,19,6,10590,120,10710,95,1
